"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2004-04-20";"4034.28000";"4083.27000";"4034.28000";"4061.13000";"0"
"3830";"2004-04-21";"4050.47000";"4055.26000";"4013.30000";"4026.15000";"0"
"3830";"2004-04-22";"4043.37000";"4062.83000";"4002.45000";"4059.15000";"0"
"3830";"2004-04-23";"4080.37000";"4129.14000";"4080.37000";"4103.62000";"0"
"3830";"2004-04-26";"4105.97000";"4156.89000";"4105.97000";"4125.83000";"0"
"3830";"2004-04-27";"4124.69000";"4151.08000";"4112.86000";"4134.10000";"0"
"3830";"2004-04-28";"4130.49000";"4133.86000";"4062.59000";"4065.74000";"0"
"3830";"2004-04-29";"4051.25000";"4061.95000";"3987.00000";"4008.91000";"0"
"3830";"2004-04-30";"3998.53000";"4008.07000";"3968.86000";"3985.21000";"0"
"3830";"2004-05-03";"3972.88000";"4011.44000";"3945.52000";"4007.65000";"0"
"3830";"2004-05-04";"4002.28000";"4018.71000";"3976.21000";"3990.75000";"0"
"3830";"2004-05-05";"3975.66000";"4029.32000";"3964.29000";"4022.10000";"0"
"3830";"2004-05-06";"4011.83000";"4012.92000";"3900.51000";"3909.46000";"0"
"3830";"2004-05-07";"3909.61000";"3923.16000";"3852.90000";"3895.64000";"0"
"3830";"2004-05-10";"3894.98000";"3894.98000";"3776.36000";"3784.61000";"0"
"3830";"2004-05-11";"3790.71000";"3850.52000";"3790.71000";"3849.84000";"0"
"3830";"2004-05-12";"3846.69000";"3851.74000";"3769.88000";"3776.24000";"0"
"3830";"2004-05-13";"3781.75000";"3827.03000";"3779.75000";"3824.93000";"0"
"3830";"2004-05-14";"3824.55000";"3833.02000";"3769.59000";"3803.10000";"0"
"3830";"2004-05-17";"3801.47000";"3801.47000";"3710.02000";"3754.37000";"0"
"3830";"2004-05-18";"3756.86000";"3796.73000";"3754.06000";"3789.24000";"0"
"3830";"2004-05-19";"3799.43000";"3883.15000";"3799.43000";"3872.26000";"0"
"3830";"2004-05-20";"3855.63000";"3855.63000";"3812.04000";"3839.32000";"0"
"3830";"2004-05-21";"3842.24000";"3869.20000";"3808.60000";"3831.84000";"0"
"3830";"2004-05-24";"3842.41000";"3901.48000";"3842.41000";"3867.84000";"0"
"3830";"2004-05-25";"3859.64000";"3859.64000";"3809.98000";"3828.07000";"0"
"3830";"2004-05-26";"3830.72000";"3901.31000";"3830.72000";"3867.52000";"0"
"3830";"2004-05-27";"3872.03000";"3926.62000";"3872.03000";"3913.33000";"0"
"3830";"2004-05-28";"3921.89000";"3940.71000";"3892.31000";"3902.72000";"0"
"3830";"2004-05-31";"3904.39000";"3927.95000";"3898.40000";"3921.41000";"0"
"3830";"2004-06-01";"3924.30000";"3929.88000";"3856.04000";"3864.18000";"0"
"3830";"2004-06-02";"3868.94000";"3917.73000";"3868.94000";"3888.31000";"0"
"3830";"2004-06-03";"3890.27000";"3917.66000";"3870.84000";"3917.08000";"0"
"3830";"2004-06-04";"3917.80000";"3973.57000";"3913.77000";"3961.93000";"0"
"3830";"2004-06-07";"3973.45000";"4025.08000";"3973.45000";"4017.81000";"0"
"3830";"2004-06-08";"4021.79000";"4040.77000";"4003.12000";"4018.95000";"0"
"3830";"2004-06-09";"4024.39000";"4036.46000";"3990.64000";"3997.76000";"0"
"3830";"2004-06-10";"3997.21000";"4027.40000";"3992.53000";"4021.64000";"0"
"3830";"2004-06-11";"4017.45000";"4019.38000";"3993.27000";"4014.56000";"0"
"3830";"2004-06-14";"4008.61000";"4008.61000";"3939.17000";"3948.65000";"0"
"3830";"2004-06-15";"3946.17000";"3995.43000";"3933.12000";"3987.30000";"0"
"3830";"2004-06-16";"3991.08000";"4014.81000";"3991.08000";"4003.24000";"0"
"3830";"2004-06-17";"3996.98000";"4018.60000";"3971.77000";"3985.46000";"0"
"3830";"2004-06-18";"3976.30000";"4004.86000";"3966.22000";"3999.79000";"0"
